index,gene_symbol,gene_name,Ensembl_ID,trait,experiment,source,source_URL,FWER_signif,FDR0.05
1,ABCC9,ATP binding cassette subfamily C member 9,ENSG00000069431,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
2,ABI2,abl interactor 2 ,ENSG00000138443,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
3,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ENSG00000097007,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
4,ACHE,acetylcholinesterase (Cartwright blood group) ,ENSG00000087085,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
5,ACLY,ATP citrate lyase,ENSG00000131473,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
6,ACTA2,"actin alpha 2, smooth muscle",ENSG00000107796,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
7,ACTC1,actin alpha cardiac muscle 1 ,ENSG00000159251,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
8,ACTL6B,actin like 6B,ENSG00000077080,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
9,ACVR2A,activin A receptor type 2A,ENSG00000121989,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
10,ADAP1,ArfGAP with dual PH domains 1 ,ENSG00000105963,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
11,ADAP1,ArfGAP with dual PH domains 1 ,ENSG00000105963,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
12,ADCY5,adenylate cyclase 5,ENSG00000173175,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
13,ADGRB1,adhesion G protein-coupled receptor B1,ENSG00000181790,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
14,ADGRF5,adhesion G protein-coupled receptor F5 ,ENSG00000069122,SuicideDeath,RVAS,Suicide_2021,https://pubmed.ncbi.nlm.nih.gov/34042246/,yes,yes
15,ADNP,activity dependent neuroprotector homeobox ,ENSG00000101126,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
16,ADNP,activity dependent neuroprotector homeobox ,ENSG00000101126,NDD,RVAS,2019_ASD_RuzzoE,https://pubmed.ncbi.nlm.nih.gov/31398340/,yes,Yes
17,ADNP,activity dependent neuroprotector homeobox,ENSG00000101126,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
18,ADNP,activity dependent neuroprotector homeobox ,ENSG00000101126,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
19,ADNP ,activity dependent neuroprotector homeobox ,ENSG00000101126,NDD,RVAS,ASD_2020_ASC_Satterstrom,https://pubmed.ncbi.nlm.nih.gov/31981491/,yes,yes
20,ADNP ,activity dependent neuroprotector homeobox ,ENSG00000101126,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
21,ADNP ,activity dependent neuroprotector homeobox ,ENSG00000101126,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
22,AFF3,ALF transcription elongation factor 3,ENSG00000144218,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
23,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 ",ENSG00000135439,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
24,AGO1,argonaute RISC component 1 ,ENSG00000092847,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
25,AGO1,argonaute RISC component 1,ENSG00000092847,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
26,AGO3,argonaute RISC catalytic component 3 ,ENSG00000126070,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
27,AGO3,argonaute RISC catalytic component 3 ,ENSG00000126070,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,no,yes
28,AGO4,argonaute RISC component 4 ,ENSG00000134698,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,no,yes
29,AGO4,argonaute RISC component 4,ENSG00000134698,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
30,AHDC1,AT-hook DNA binding motif containing 1 ,ENSG00000126705,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
31,AHDC1,AT-hook DNA binding motif containing 1,ENSG00000126705,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
32,AHDC1 ,AT-hook DNA binding motif containing 1 ,ENSG00000126705,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
33,AHDC1 ,AT-hook DNA binding motif containing 1 ,ENSG00000126705,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
34,AHNAK,AHNAK nucleoprotein ,ENSG00000124942,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,no,yes
35,AKAP11,A kinase (PRKA) anchor protein 11,ENSG00000023516,SCZ ,RVAS,SCZ_SCHEMA_2022,https://pubmed.ncbi.nlm.nih.gov/35396579/,no,yes
36,AKAP9,A-kinase anchoring protein 9 ,ENSG00000127914,NDD,RVAS,2019_ASD_RuzzoE,https://pubmed.ncbi.nlm.nih.gov/31398340/,no,Yes
37,AKT3,AKT serine/threonine kinase 3,ENSG00000275199,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
38,ALDH18A1,aldehyde dehydrogenase 18 family member A1,ENSG00000059573,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
39,ALG13 ,ALG13 UDP-N-acetylglucosaminyltransferase subunit ,ENSG00000101901,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
40,AMH,anti-Mullerian hormone,ENSG00000104899,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
41,AMIGO1,adhesion molecule with Ig like domain 1,ENSG00000181754,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
42,ANK2,ankyrin 2 ,ENSG00000145362,NDD,RVAS,ASD_2020_ASC_Satterstrom,https://pubmed.ncbi.nlm.nih.gov/31981491/,yes,yes
43,ANK2,ankyrin 2 ,ENSG00000145362,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
44,ANK2,ankyrin 2 ,ENSG00000145362,NDD,RVAS,NDD_2020_Wang,https://pubmed.ncbi.nlm.nih.gov/33004838/,yes,yes
45,ANK2,ankyrin 2 ,ENSG00000145362,NDD,RVAS,2019_ASD_RuzzoE,https://pubmed.ncbi.nlm.nih.gov/31398340/,yes,Yes
46,ANK2,ankyrin 2,ENSG00000145362,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
47,ANK2,ankyrin 2 ,ENSG00000145362,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
48,ANK3,ankyrin 3,ENSG00000151150,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
49,ANKH,ANKH inorganic pyrophosphate transport regulator,ENSG00000154122,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,no,yes
50,ANKRD11,ankyrin repeat domain containing 11,ENSG00000167522,NDD,RVAS,ASD_2022_ASC_Fu,https://pubmed.ncbi.nlm.nih.gov/35982160/,yes,yes
51,ANKRD11,ankyrin repeat domain containing 11 ,ENSG00000167522,NDD,RVAS,ASD_2022_MSSNG_Trost,https://pubmed.ncbi.nlm.nih.gov/36368308/,not reported,yes
52,ANKRD11 ,ankyrin repeat domain 11 ,ENSG00000167522,NDD,RVAS,ASD_2020_ASC_Satterstrom,https://pubmed.ncbi.nlm.nih.gov/31981491/,yes,yes
53,ANKRD11 ,ankyrin repeat domain 11 ,ENSG00000167522,NDD,RVAS,DD_2019_ASD_Coe,https://pubmed.ncbi.nlm.nih.gov/30559488/,yes,yes
54,ANKRD11 ,ankyrin repeat domain 11 ,ENSG00000167522,NDD,RVAS,DDD_2017,https://pubmed.ncbi.nlm.nih.gov/28135719/,yes,yes
55,ANKRD12,Ankyrin repeat domain 12,ENSG00000101745,SCZ ,RVAS,SCZ_SCHEMA_2022,https://pubmed.ncbi.nlm.nih.gov/35396579/,no,yes
