guide_gene	subcluster	P.Value	FDR	limma_coef	Tstatistic	PropRatio	PropMean.treatGuide	PropMean.treatNonTarget2	guide	guide_gene_idx
Foxg1	cluster_5	6.41E-07	9.61E-06	-2.38595864	-8.394585263	0.100762131	0.010754526	0.106731821	Foxg1_1	1
Foxg1	cluster_7	4.15E-05	0.000244943	3.587679217	7.8674356	24.39634249	0.273223161	0.011199349	Foxg1_1	1
Foxg1	cluster_21	5.63E-05	0.000244943	-1.491791747	-5.627320374	0.184311131	0.006097057	0.033080243	Foxg1_1	1
Foxg1	cluster_2	6.53E-05	0.000244943	-3.387876511	-7.395179602	0.028833979	0.003468208	0.120281979	Foxg1_1	1
Foxg1	cluster_0	0.000171735	0.000515206	-1.237609333	-5.02311405	0.29904795	0.047843832	0.159987158	Foxg1_1	1
Tbr1	cluster_2	8.22E-05	0.001159867	-1.442194601	-8.291193865	0.249064882	0.029958017	0.120281979	Tbr1_1	1
Tbr1	cluster_5	0.000154649	0.001159867	-1.274604804	-7.492289368	0.279926173	0.02987703	0.106731821	Tbr1_1	1
Foxg1	cluster_17	0.001177009	0.002942522	-1.140823144	-4.030944415	0.271719233	0.005984822	0.022025757	Foxg1_1	1
Tbr1	cluster_3	0.001166006	0.005830029	1.283021227	5.333046411	3.108695756	0.235512514	0.075759268	Tbr1_1	1
Foxg1	cluster_4	0.006313321	0.013528545	0.822367269	3.193822577	2.003159302	0.137240488	0.068512019	Foxg1_1	1
Foxg1	cluster_7	0.001654015	0.024810224	0.886525406	3.33472377	1.829252269	0.020486435	0.011199349	Foxg1_3	3
Foxg1	cluster_7	0.001841574	0.027623613	1.581315754	4.379333147	4.15512655	0.046534714	0.011199349	Foxg1_2	2
Tcf4	cluster_8	0.002099057	0.031485855	-0.744702544	-4.754625227	0.4601384	0.019269654	0.041877952	Tcf4_1	1
Foxg1	cluster_21	0.004482864	0.033621479	-1.127926979	-3.694226011	0.22141168	0.007324352	0.033080243	Foxg1_2	2
Foxg1	cluster_21	0.006536214	0.049021607	-0.694955814	-2.817922614	0.47510803	0.015716689	0.033080243	Foxg1_3	3
Tbr1	cluster_12	0.004994712	0.074920682	-1.070023251	-3.359895451	0.203460693	0.006349206	0.031206059	Tbr1_2	2
Foxg1	cluster_11	0.040632056	0.076185106	-0.537693669	-2.249393802	0.616121409	0.03289071	0.053383488	Foxg1_1	1
Foxg1	cluster_6	0.046205916	0.07700986	0.530996443	2.181433596	1.599357908	0.125553692	0.078502561	Foxg1_1	1
Tbr1	cluster_12	0.006774918	0.09437298	-0.892227297	-2.804834527	0.359080327	0.011205482	0.031206059	Tbr1_3	3
Tbr1	cluster_17	0.015836679	0.09437298	0.836409264	2.505342929	1.892505882	0.041683874	0.022025757	Tbr1_3	3
Tbr1	cluster_10	0.018874596	0.09437298	-0.805099711	-2.434002389	0.553389958	0.024722584	0.044674797	Tbr1_3	3
Foxg1	cluster_5	0.020865959	0.104329797	-0.844078295	-2.762616	0.516397504	0.055116046	0.106731821	Foxg1_2	2
Foxg1	cluster_9	0.069930698	0.104896046	0.512151479	1.957886753	1.479562494	0.058612033	0.039614435	Foxg1_1	1
Foxg1	cluster_3	0.105503651	0.143868616	-0.468459479	-1.727358424	0.651889719	0.049386688	0.075759268	Foxg1_1	1
Tbr1	cluster_6	0.047045145	0.149216251	0.483915726	2.41752337	1.565323241	0.122881883	0.078502561	Tbr1_1	1
Tbr1	cluster_0	0.04973875	0.149216251	-0.356613368	-2.379224	0.72946519	0.116705063	0.159987158	Tbr1_1	1
Foxg1	cluster_12	0.137558688	0.17194836	-0.444527116	-1.572533484	0.686718312	0.021429772	0.031206059	Foxg1_1	1
GFP	cluster_12	0.01300772	0.195115794	-1.032440685	-3.309932095	0.388077056	0.012110355	0.031206059	GFP	
NonTarget1	cluster_21	0.020596052	0.203069835	-0.626250701	-3.072829272	0.507547129	0.016789782	0.033080243	NonTarget1	
NonTarget1	cluster_1	0.027075978	0.203069835	-0.422094953	-2.855015169	0.705847628	0.079875916	0.113163114	NonTarget1	
Nr2f1	cluster_11	0.01432449	0.21486735	-0.618228404	-3.076150739	0.515888095	0.027539906	0.053383488	Nr2f1_1	1
Nr2f1	cluster_2	0.016976832	0.254652473	0.693393901	2.931083929	1.757481485	0.211393351	0.120281979	Nr2f1_2	2
Tcf4	cluster_21	0.018514967	0.277724507	-0.74901993	-2.861873965	0.559172849	0.018497574	0.033080243	Tcf4_3	3
Tcf4	cluster_4	0.062865108	0.284791052	0.363102438	2.21119237	1.373225704	0.094082466	0.068512019	Tcf4_1	1
Tcf4	cluster_11	0.064961156	0.284791052	-0.391884869	-2.188928009	0.668701986	0.035697644	0.053383488	Tcf4_1	1
Tcf4	cluster_3	0.108174458	0.284791052	-0.381801187	-1.842329624	0.712264794	0.053960659	0.075759268	Tcf4_1	1
Tcf4	cluster_0	0.111886237	0.284791052	0.367802114	1.819278933	1.257833912	0.201237273	0.159987158	Tcf4_1	1
Tcf4	cluster_21	0.113916421	0.284791052	-0.698287832	-1.820946275	0.677604753	0.02241533	0.033080243	Tcf4_1	1
Nr2f1	cluster_21	0.038671998	0.290039988	-1.011941192	-2.459874635	0.282835084	0.009356253	0.033080243	Nr2f1_2	2
Tcf4	cluster_17	0.028569656	0.305291115	0.650401307	2.560806937	1.570142086	0.034583567	0.022025757	Tcf4_2	2
Tcf4	cluster_11	0.040705482	0.305291115	-0.538804489	-2.352998638	0.607052272	0.032406568	0.053383488	Tcf4_2	2
SafeTarget	cluster_17	0.02084773	0.312715949	0.596863754	2.638653008	1.534515578	0.033798867	0.022025757	SafeTarget	
Tcf4	cluster_0	0.065290106	0.32645053	0.426089993	2.072836772	1.308906508	0.209408233	0.159987158	Tcf4_2	2
Nr2f1	cluster_4	0.045010486	0.337578647	0.51677781	2.352623615	1.574704621	0.107886193	0.068512019	Nr2f1_1	1
Tbr1	cluster_21	0.091376075	0.34266028	-0.545771601	-1.71570522	0.410759909	0.013588038	0.033080243	Tbr1_3	3
Tbr1	cluster_12	0.170543564	0.372422103	-0.415467377	-1.531208549	0.686280332	0.021416104	0.031206059	Tbr1_1	1
Tbr1	cluster_9	0.173796982	0.372422103	0.28216782	1.517897592	1.255336288	0.049729438	0.039614435	Tbr1_1	1
Tcf4	cluster_12	0.182831468	0.389045534	-0.32001014	-1.479155404	0.716618424	0.022362837	0.031206059	Tcf4_1	1
Tcf4	cluster_5	0.257279019	0.389045534	-0.189833041	-1.23378044	0.87616777	0.093514982	0.106731821	Tcf4_1	1
Tcf4	cluster_17	0.264794015	0.389045534	0.298720676	1.212593313	1.055611411	0.02325064	0.022025757	Tcf4_1	1
Tcf4	cluster_1	0.279178658	0.389045534	0.162527985	1.173413928	1.156445196	0.13086694	0.113163114	Tcf4_1	1
Tcf4	cluster_9	0.285300058	0.389045534	0.368201088	1.162446847	1.28170152	0.050773882	0.039614435	Tcf4_1	1
Foxg1	cluster_4	0.080116875	0.400584373	0.433421184	1.78013828	1.550607589	0.106235257	0.068512019	Foxg1_3	3
GFP	cluster_21	0.053691421	0.402685661	-0.38225832	-2.317822123	0.790685232	0.026156059	0.033080243	GFP	
Foxg1	cluster_2	0.112644163	0.411419806	-0.39462105	-1.610013185	0.764122086	0.091910117	0.120281979	Foxg1_3	3
Foxg1	cluster_5	0.137139935	0.411419806	-0.368247296	-1.506679885	0.712179977	0.076012266	0.106731821	Foxg1_3	3
Tbr1	cluster_9	0.140575906	0.421727717	0.475051869	1.493388389	1.518682452	0.060161748	0.039614435	Tbr1_3	3
GFP	cluster_9	0.087287091	0.432298475	0.316587944	1.988024827	1.344298308	0.053253619	0.039614435	GFP	
GFP	cluster_17	0.115279593	0.432298475	0.400658092	1.798531044	1.334560225	0.029394699	0.022025757	GFP	
Tbr1	cluster_4	0.235710317	0.441956844	0.246327343	1.299874739	1.2263374	0.084018851	0.068512019	Tbr1_1	1
Foxg1	cluster_12	0.148603304	0.452475941	-0.39731012	-1.571337118	0.729326788	0.022759415	0.031206059	Foxg1_2	2
Foxg1	cluster_6	0.191396165	0.452475941	0.36198382	1.406041553	1.390658748	0.109170273	0.078502561	Foxg1_2	2
Foxg1	cluster_4	0.193872642	0.452475941	0.424138664	1.397493294	1.485738825	0.101790967	0.068512019	Foxg1_2	2
Foxg1	cluster_2	0.211155439	0.452475941	-0.312597859	-1.340291854	0.736371152	0.088572179	0.120281979	Foxg1_2	2
Tbr1	cluster_11	0.275020859	0.458368098	-0.306755105	-1.186378395	0.803641422	0.042901182	0.053383488	Tbr1_1	1
Foxg1	cluster_8	0.245412699	0.46014881	-0.332790131	-1.237622206	0.706665025	0.029593684	0.041877952	Foxg1_2	2
NonTarget1	cluster_17	0.119797484	0.481370347	0.620484474	1.808811268	1.834519063	0.04040667	0.022025757	NonTarget1	
NonTarget1	cluster_7	0.149985278	0.481370347	-0.763427313	-1.646965392	0.197912541	0.002216492	0.011199349	NonTarget1	
NonTarget1	cluster_9	0.184924009	0.481370347	0.268077194	1.488681812	1.324292086	0.052461083	0.039614435	NonTarget1	
NonTarget1	cluster_4	0.192548139	0.481370347	0.314964088	1.459364348	1.406421882	0.096356803	0.068512019	NonTarget1	
Nr2f1	cluster_12	0.100059368	0.49691809	-0.766916345	-1.862076303	0.608687941	0.018994752	0.031206059	Nr2f1_1	1
Nr2f1	cluster_17	0.132511491	0.49691809	0.46727124	1.677051508	1.489236774	0.032801567	0.022025757	Nr2f1_1	1
NonTarget1	cluster_2	0.236234261	0.506216274	0.154189457	1.307253749	1.123507113	0.135137659	0.120281979	NonTarget1	
Nr2f1	cluster_11	0.133517152	0.509126804	-0.726624722	-1.665481501	0.643130657	0.034332558	0.053383488	Nr2f1_2	2
Nr2f1	cluster_0	0.159201726	0.509126804	-0.400163483	-1.536774833	0.647842561	0.10364649	0.159987158	Nr2f1_2	2
