perturbation_gene	Gene	PValue	padj	logFC	logCPM	LR	cell type	perturbation	perturbation_gene_idx	Gene_raw	_Gene_resolution
Foxg1	Selenoo	7.81E-06	0.034711446	9.651226673	5.957812972	19.98426146	Inhib_Lhx6+Sst-	Foxg1_3	3	Selenoo	passed_through
Foxg1	Fbxl16	6.28E-07	0.005582916	3.262595107	7.123919011	24.82454179	Inhib_Lhx6+Sst-	Foxg1_3	3	Fbxl16	passed_through
Tbr1	Meis2	2.13E-05	0.027209911	-1.15004434	7.671438336	18.07299066	Excit_L5NP_CTX	Tbr1_1	1	Meis2	passed_through
Tbr1	Gm10762	2.44E-05	0.028133421	8.258858394	5.390421227	17.80892495	Excit_L5NP_CTX	Tbr1_1	1	Gm10762	passed_through
Tbr1	Uckl1	4.78E-05	0.034794475	7.372005693	5.647646536	16.53282912	Excit_L5NP_CTX	Tbr1_1	1	Uckl1	passed_through
Tbr1	Olfm3	3.83E-05	0.033146494	-1.87160053	6.845364796	16.95468134	Excit_L5NP_CTX	Tbr1_1	1	Olfm3	passed_through
Tbr1	Slc9a1	4.03E-05	0.033146494	23.25848903	4.914321841	16.85788119	Excit_L5NP_CTX	Tbr1_1	1	Slc9a1	passed_through
Tbr1	Ccdc149	7.10E-06	0.020532864	23.90772397	5.08946544	20.16680025	Excit_L5NP_CTX	Tbr1_1	1	Ccdc149	passed_through
Tbr1	Chfr	3.41E-05	0.032723062	3.625519723	6.553456153	17.17499105	Excit_L5NP_CTX	Tbr1_1	1	Chfr	passed_through
Tbr1	Trh	1.85E-05	0.026659429	-5.396602693	5.409544939	18.336244	Excit_L5NP_CTX	Tbr1_1	1	Trh	passed_through
Tbr1	Cdh13	1.52E-08	8.74E-05	2.107397323	7.281133706	32.03072824	Excit_L5NP_CTX	Tbr1_1	1	Cdh13	passed_through
Tbr1	Gria4	1.59E-05	0.0261344	-1.221562686	7.397666117	18.62864107	Excit_L5NP_CTX	Tbr1_1	1	Gria4	passed_through
Tbr1	Thyn1	2.83E-05	0.029637841	1.634038492	7.268651804	17.52855595	Excit_L5NP_CTX	Tbr1_1	1	Thyn1	passed_through
Tbr1	Epm2a	5.58E-05	0.035685704	-13.05090645	4.664318942	16.24134503	Excit_L5NP_CTX	Tbr1_1	1	Epm2a	passed_through
Tbr1	Pfas	4.83E-05	0.034794475	-9.877565881	4.945124487	16.51252131	Excit_L5NP_CTX	Tbr1_1	1	Pfas	passed_through
