Mutant_Experiment_Sample_gene	Forebrain	Optic Tectum	Thalamus	Hypothalamus	Cerebellum	Hindbrain	Habenula	Posterior Tuberculum	Mutant_Experiment_Sample	Mutant_Experiment_Sample_gene_idx
CHD8	0.54171759	0.78614438	1.85571516	0.34522921	0.81605065	1.21395635604858	0.41201189	1.62852979	CHD8_exp1_het_1	exp1_het_1
CHD8	0.39697951	0.50864673	1.46313667	0.3170062	0.67422301	1.3856551647186199	0.23244739	1.87430429	CHD8_exp1_het_2	exp1_het_2
CHD8	0.57801789	0.71104163	1.52230811	0.3148123	0.75154167	1.0364580154418901	0.40411094	1.62245071	CHD8_exp1_het_3	exp1_het_3
CHD8	0.44045198	0.50361943	0.87067062	0.18469554	0.62988448	0.76975083351135198	0.25064537	0.8263151	CHD8_exp1_het_4	exp1_het_4
CHD8	0.67404473	0.7172488	2.42408037	0.64431489	1.10228264	1.5415956974029501	0.4845714	2.15736604	CHD8_exp1_het_5	exp1_het_5
CHD8	0.63968647	0.71933895	1.65274203	0.28590015	0.76493496	0.95241600275039595	0.35826862	1.37694013	CHD8_exp1_het_6	exp1_het_6
CHD8	0.41358885	0.49533689	1.36096323	0.36561245	0.70236516	1.65054702758789	0.30366823	1.77114964	CHD8_exp1_het_7	exp1_het_7
CHD8	0.48520061	0.67805195	1.559986	0.18375024	0.72299182	0.84710955619812001	0.3235479	1.14267564	CHD8_exp1_het_8	exp1_het_8
CHD8	0.5211671	0.67839831	1.50608873	0.2815598	0.86413461	1.40631079673767	0.46286163	1.76922929	CHD8_exp1_het_9	exp1_het_9
CHD8	0.45029032	0.49396867	1.48225045	0.31134909	0.5993318	1.1848829984664899	0.29179665	1.74510777	CHD8_exp1_het_10	exp1_het_10
CHD8	0.57930672	0.54427075	1.40417302	0.27852622	0.59548068	0.97446209192276001	0.35119057	1.4058727	CHD8_exp1_hom_1	exp1_hom_1
CHD8	0.5371049	0.5207482	1.30956531	0.29504707	0.58645535	1.09635829925537	0.39598811	1.57972944	CHD8_exp1_hom_2	exp1_hom_2
CHD8	0.51306146	0.63277394	1.64175308	0.32232058	0.71945614	1.4155744314193699	0.3927182	1.58044672	CHD8_exp1_hom_3	exp1_hom_3
CHD8	0.60904175	0.53245413	1.16734636	0.30395344	0.55426913	0.96937608718872004	0.30992913	1.33882523	CHD8_exp1_hom_4	exp1_hom_4
CHD8	0.48819739	0.5458706	1.37791514	0.25127152	0.64712739	0.88382154703140203	0.32593143	1.14386046	CHD8_exp1_hom_5	exp1_hom_5
CHD8	0.60024488	0.48385653	1.29953945	0.3414214	0.43875811	1.1659848690032899	0.34484023	1.69245124	CHD8_exp1_hom_6	exp1_hom_6
CHD8	0.42888185	0.61953878	1.03905165	0.26013094	0.67418891	1.49714183807373	0.26909381	1.10622191	CHD8_exp1_hom_7	exp1_hom_7
