clone_name	resolution	kind
ABC7-42391500H16.4	ENSG00000282994	current_ensg
ABC7-42404400C24.1	SYT15B	hgnc_symbol
ABC7-42418200C9.1	ENSG00000268486	current_ensg
ABC7-481722F1.1	ENSG00000273644	current_ensg
ABC7-481722F1.2	ENSG00000283061	current_ensg
AC000032.2	AC000032.2	current_ac_accession
AC000035.3	AC000035.3	current_ac_accession
AC000036.4	AC000036.4	current_ac_accession
AC000041.8	AC000041.8	current_ac_accession
AC000050.1	AC000050.1	current_ac_accession
AC000067.1	AC000067.1	current_ac_accession
AC000068.10	AC000068.10	current_ac_accession
AC000068.5	AC000068.5	current_ac_accession
AC000068.9	AC000068.9	current_ac_accession
AC000077.2	AC000077.2	current_ac_accession
AC000078.5	AC000078.5	current_ac_accession
AC000081.2	AC000081.2	current_ac_accession
AC000082.4	AC000082.4	current_ac_accession
AC000085.4	AC000085.4	current_ac_accession
AC000089.3	AC000089.3	current_ac_accession
AC000095.12	AC000095.12	current_ac_accession
AC000095.9	AC000095.9	current_ac_accession
AC000111.4	AC000111.4	current_ac_accession
AC000111.5	AC000111.5	current_ac_accession
AC000111.6	AC000111.6	current_ac_accession
AC000120.7	AC000120.7	current_ac_accession
AC000123.2	AC000123.2	current_ac_accession
AC000123.3	AC000123.3	current_ac_accession
AC000123.4	AC000123.4	current_ac_accession
AC000124.1	AC000124.1	current_ac_accession
AC000362.1	AC000362.1	current_ac_accession
AC000367.1	AC000367.1	current_ac_accession
AC000370.2	AC000370.2	current_ac_accession
AC000374.1	AC000374.1	current_ac_accession
AC000403.4	AC000403.4	current_ac_accession
AC001226.7	AC001226.7	current_ac_accession
AC001226.8	AC001226.8	current_ac_accession
AC002044.1	AC002044.1	current_ac_accession
AC002044.3	AC002044.3	current_ac_accession
AC002044.4	AC002044.4	current_ac_accession
AC002056.3	AC002056.3	current_ac_accession
AC002056.5	AC002056.5	current_ac_accession
AC002057.1	AC002057.1	current_ac_accession
AC002057.2	AC002057.2	current_ac_accession
AC002059.10	AC002059.10	current_ac_accession
AC002059.11	AC002059.11	current_ac_accession
AC002064.4	AC002064.4	current_ac_accession
AC002064.5	AC002064.5	current_ac_accession
AC002064.7	AC002064.7	current_ac_accession
AC002066.1	AC002066.1	current_ac_accession
AC002069.6	AC002069.6	current_ac_accession
AC002075.3	AC002075.3	current_ac_accession
AC002075.4	AC002075.4	current_ac_accession
AC002116.7	AC002116.7	current_ac_accession
AC002116.8	AC002116.8	current_ac_accession
AC002117.1	AC002117.1	current_ac_accession
AC002127.2	AC002127.2	current_ac_accession
AC002127.4	AC002127.4	current_ac_accession
AC002128.5	AC002128.5	current_ac_accession
AC002306.1	AC002306.1	current_ac_accession
AC002310.10	AC002310.10	current_ac_accession
AC002310.11	AC002310.11	current_ac_accession
AC002310.12	AC002310.12	current_ac_accession
AC002310.14	AC002310.14	current_ac_accession
AC002310.17	AC002310.17	current_ac_accession
AC002310.7	AC002310.7	current_ac_accession
AC002331.2	AC002331.2	current_ac_accession
AC002368.4	AC002368.4	current_ac_accession
AC002383.2	AC002383.2	current_ac_accession
AC002386.1	AC002386.1	current_ac_accession
AC002398.11	AC002398.11	current_ac_accession
AC002398.12	AC002398.12	current_ac_accession
AC002398.13	AC002398.13	current_ac_accession
AC002398.9	AC002398.9	current_ac_accession
AC002401.1	AC002401.1	current_ac_accession
AC002407.3	AC002407.3	current_ac_accession
